"","name","module","disease","padj_CJD","lFC_CJD","padj_FFI","lFC_FFI"
"863","Camk2d",3,"neither",NA,NA,NA,NA
"873","Camsap2",3,"neither",NA,NA,NA,NA
"875","Camta1",3,"neither",NA,NA,NA,NA
"877","Cand1",3,"neither",NA,NA,NA,NA
"881","Cap2",3,"neither",NA,NA,NA,NA
"887","Capn7",3,"neither",NA,NA,NA,NA
"889","Caprin1",3,"neither",NA,NA,NA,NA
"893","Car10",3,"neither",NA,NA,NA,NA
"904","Casc3",3,"neither",NA,NA,NA,NA
"917","Cbln4",3,"neither",NA,NA,NA,NA
"920","Cbx1",3,"neither",NA,NA,NA,NA
"923","Cbx5",3,"neither",NA,NA,NA,NA
"940","Ccdc25",3,"neither",NA,NA,NA,NA
"944","Ccdc6",3,"neither",NA,NA,NA,NA
"947","Ccdc85a",3,"neither",NA,NA,NA,NA
"962","Ccnc",3,"neither",NA,NA,NA,NA
"975","Ccser2",3,"neither",NA,NA,NA,NA
"982","Cct8",3,"neither",NA,NA,NA,NA
"986","Cd200",3,"neither",NA,NA,NA,NA
"1001","Cdc27",3,"neither",NA,NA,NA,NA
"1006","Cdc42",3,"neither",NA,NA,NA,NA
"1012","Cdh10",3,"neither",NA,NA,NA,NA
"1014","Cdh2",3,"neither",NA,NA,NA,NA
"1016","Cdh9",3,"neither",NA,NA,NA,NA
"1031","Cdk5r1",3,"neither",NA,NA,NA,NA
"1035","Cdk8",3,"neither",NA,NA,NA,NA
"1038","Cdkl2",3,"neither",NA,NA,NA,NA
"1039","Cdkl5",3,"neither",NA,NA,NA,NA
"1040","Cdkn1b",3,"neither",NA,NA,NA,NA
"1048","Celf1",3,"neither",NA,NA,NA,NA
"1067","Cep83",3,"neither",NA,NA,NA,NA
"1071","Cert1",3,"neither",NA,NA,NA,NA
"1087","Chchd3",3,"neither",NA,NA,NA,NA
"1103","Chl1",3,"neither",NA,NA,NA,NA
"1104","Chm",3,"neither",NA,NA,NA,NA
"1113","Chn1",3,"neither",NA,NA,NA,NA
