"","TF","Module","Target","num_deg","deg"
"11","Tp53",1,"KDM1A;TRRAP;CCNH;EHMT2;PRDM2;NOC2L;ETS2;NUB1;STK11;TRIM28;ZMIZ1;ZMIZ2;CAPN1;PRKACA;BTRC;MEN1;PIAS4;USP7;SMARCC1;DAPK1;PRKCD;DAPK3;MUL1;CSNK1D;UBE4B;CSNK1E;GTPBP4;RNF40;BCR;MSH2;HNRNPUL1;EWSR1;NCL;RAF1;KPNB1;CSNK1G2;CUL9;DNMT1;CUL7;VCP;CTBP1;NPRL3;FOXO3;ADH5;NUAK1;PPP4C;BTBD2;BAG1;UBR5;SMYD2;EP400;ZBTB7A;HSPA9;EGR1;RAB4A;XRCC6;UBE2I;PLK2;DHCR24;EEF2;PTK2;SMARCA4;GADD45G;SMAD7;CDK9;NR4A1;TADA2A;BMP1;TADA3;NMT1;NFKBIB;TOP2B;SETD2;WDR48;HSP90AB1;PHF1;CHD8;RASGRF1;CHD3;MED17;TRIM8;IKBKB;ING2;SIN3B;TRIM3;ARIH2;ANXA7;HSP90AA1;PARP1;PRMT1;ACTL6A;ITPK1;AXIN1;SENP3;SIRT2;SREBF2;KAT2A;NCOR1;SNURF;HDAC5;SMARCD1;HDAC2;HDAC3;PCNA;HDAC1;USP11;CCDC106;MTHFSD;MTA1;RBBP5;HECTD3;MAPK1;BRD8;BRD7;MTA2;CCT5;RNF20;WWOX;MDH1;BRF1;DAB2IP;RPA1;HUWE1;MAPK14;USP29;LRPPRC;MTOR;SKI;MAPK10;MAPK11;PSMC5;TTLL5;PSMC3;ERCC3;CARM1;ERCC2;CEBPZ;TAF6;TAF1",11,"Usp7 / Dnmt1 / Nuak1 / Ubr5 / Egr1 / Nr4a1 / Top2b / Wdr48 / Rasgrf1 / Usp11 / Usp29"
"12","Smarcc1",1,"TOP2B;SMARCD1;VCP;HDAC2;KDM1A;SRC;HDAC1;CUL3;CHD4;ADD1;IKBKB;STK11;ING2;TRIM28;POLR2A;RBBP5;NACC1;DPF2;AKT1;BRD7;SRRM2;PRMT5;WWOX;SMARCC2;STAT2;ACTL6A;SIRT5;PTPN11;WWP2;BAZ1B;MAPK14;SMARCA2;SMARCA4;NR4A1;NCOR1;DLG4;CARM1;GRB2;TAF6",5,"Top2b / Chd4 / Polr2a / Stat2 / Nr4a1"
"13","Brca1",1,"KDM1A;TRRAP;CCNH;ZDHHC5;ENO1;PHB2;TSEN54;HERC2;TATDN2;KPNA6;AKT1;JUNB;GTF2I;PIAS4;SMARCC1;SMARCC2;USP2;THOC3;GTF2F1;TUBA4A;PISD;MSH2;EWSR1;MSH3;CRYZL1;SNRNP200;CDS1;ZCCHC8;VCP;CTBP1;DHX9;FLII;MAPKAP1;TARS;FOXO3;ACACA;CSTF1;HIVEP1;BRAP;XRCC6;SMAD4;UBE2I;JUP;ODF2;PHF12;RDX;SMARCA2;GPN3;SMARCA4;CDK9;TADA3;UBA1;BAP1;CDK16;WDR48;NUMA1;AP2A1;MED17;PPP1R9B;CAPZB;PPP6R1;PPP6R3;WDR6;KIF1B;MAN2C1;TOPBP1;JAK1;EIF5B;PARP1;NUP133;SMC1A;TUBG1;TERF2;SIRT2;KAT2A;MED24;DALRD3;PEX5;ALDH9A1;HDAC2;DDX24;SRC;HDAC1;INPP1;HSPA14;RECQL5;POLR2A;HECTD3;TRIM46;MAPK1;BRD7;MTA2;MAP4K4;DYNC1H1;RPA1;MTOR;DNAJA3;EIF3B",6,"Junb / Dhx9 / Wdr48 / Kif1b / Jak1 / Polr2a"
"14","Esrrb",1,"SMARCD1;HDAC2;L3MBTL2;TRRAP;HDAC1;JMJD1C;WIZ;CHD4;MED16;MED17;MED12;MED14;MTA1;POLR2A;RBBP5;POLR2B;DPF2;EP400;BRD8;MTA2;MTA3;MBD3;SMARCC1;MED27;GATAD2B;HCFC1;MED13L;SMARCA4;MED25;MED24;TAF6",5,"Chd4 / Polr2a / Polr2b / Mta3 / Med13l"
"15","Smad3",1,"SETD2;KDM5C;ZFYVE9;DOCK9;CHD8;DCAF7;ZCCHC14;JPH3;ZMIZ1;SNRNP70;AKT1;BTRC;JUNB;MEN1;NUP214;PIAS4;SMARCC1;USP7;SMARCC2;KDM2A;ELAC2;TFE3;MAGI2;AXIN1;TSC2;CSNK1D;ANK3;FOS;UCHL5;SREBF2;ATXN2L;PPM1A;KAT2A;MED24;PRKAR1B;PSPC1;PEX6;TCP1;SIK3;SLC25A12;KPNB1;CSNK1G2;HDAC5;USP15;SRC;HDAC1;ODC1;CUL1;NEDD4L;FOXO4;FOXO3;ACVR1B;CORO1A;RASD2;LMNA;DVL1;HIVEP1;MAPK1;BUB3;PCDH1;CAMK2G;UBQLN4;RAB11FIP5;PCK2;BPTF;EGR1;GIT2;XRCC6;SMAD4;PLK2;RPA1;WWP2;MAPK14;SMARCA4;SMAD7;SKI;CDK9;NR4A1;RIT1;MCM3AP;MYO5B;NFIC;CDC16;PPP2R2D;NF1;GTF2IRD1;GRB2;CLASRP",9,"Junb / Usp7 / Kdm2a / Fos / Usp15 / Camk2g / Egr1 / Nr4a1 / Nf1"
"16","Ets1",1,"CAMK2B;SRC;HDAC1;CAMK2A;CPLX2;ETS2;CENPB;PPME1;SV2A;RPS6KC1;ZNHIT6;PCNX;MAPK1;NEFM;PIAS4;ACAD8;EIF5B;XRCC6;UBE2I;PARP1;ZFR;ELP2;TSC1;FOS;MAPK14;SMARCA2;NCOR1;LAS1L;NCL;TTC3;EIF3D;EIF3A;AARS;PLEC",8,"Camk2a / Cplx2 / Nefm / Elp2 / Tsc1 / Fos / Ttc3 / Eif3a"
"17","Hif1a",1,"HDAC5;VCP;HDAC2;HSP90AB1;HDAC3;SRC;HDAC1;CUL2;SAT2;FOXO3;PSMA7;HDAC6;USP19;RPTOR;MTA1;OS9;RUVBL2;MAPK1;CAPN1;PIAS4;NCOA1;ARNT2;HSP90AA1;EGLN2;RBFOX3;PARP1;USP20;FBXW7;PCGF2;CSNK1D;SMARCA2;MTOR;SMARCA4;BCR;NR4A1;PER1;PKM;PSMC3;MAFG",3,"Hdac6 / Arnt2 / Nr4a1"
"18","Ep300",1,"KDM1A;FBXO25;HNRNPU;PRDM2;ENO1;ETS2;GOLGA2;HERC1;AKT1;EPC1;PRKACA;BTRC;JUNB;MAP3K5;VPS18;MAP2K1;FBXW8;ANAPC7;PRKCD;CASK;TLE6;HNRNPUL1;EWSR1;ANAPC2;PAXIP1;CTBP2;SRCAP;CTBP1;FLII;DTX1;FOXO3;BAG6;DECR2;ATG7;PCK2;EGR1;XRCC6;SMAD4;WDR59;UBE2I;TNK2;SMARCA2;SMAD7;CDK9;NR4A1;TADA3;CDC16;CNTN2;GRB2;CALCOCO1;THRA;CHD4;ING2;UBTF;LRRFIP1;NCOA1;KLF13;PARP1;PRMT1;FOS;SENP3;SIRT2;NCOR2;DDB1;CREB3;KAT2A;NCOR1;PKM;IRF3;MAPT;CAMK1G;GTF3C1;GTF3C2;SMARCD1;HDAC2;ITIH3;HDAC3;PCNA;GTF3C5;DDX24;SRC;HDAC1;HDAC6;MTA1;MSTO1;POLR2A;TGS1;MAPK1;BRD7;MEF2D;BRD4;STAT2;IMMT;MAPK14;MCM3AP;MYBBP1A;CAMK4;CARM1;RPS6KB2;TACC2;RAN",14,"Herc1 / Epc1 / Junb / Map3k5 / Cask / Egr1 / Wdr59 / Nr4a1 / Chd4 / Fos / Gtf3c1 / Hdac6 / Polr2a / Stat2"
"19","Ctnnb1",1,"PTPRU;CALCOCO1;AHCTF1;HSP90AB1;ZFYVE9;TRRAP;CTNND2;LRRK2;CHD8;PTPRM;PHB2;PKD1;PTPRF;IKBKB;AKAP12;TUBA1A;AKT2;RUVBL2;RUVBL1;DACT2;AKT1;DACT3;DLGAP1;LRRFIP1;PRKACA;LZTS2;BTRC;RAB8A;MEN1;APC2;MAGI1;PARP1;MAGI2;AXIN1;CSNK1D;FOS;CSNK1E;DUSP26;TUBA4A;DDB1;PPM1A;KAT2A;PRPF6;IRF3;FSCN1;PICK1;ARHGEF4;SGK1;ANAPC1;CSNK1G2;HDAC2;CTBP1;SRC;HDAC1;DHX9;CUL3;DDX1;CUL1;FOXO4;FOXO3;HDAC6;LDHB;KIF3B;RBBP5;DVL1;LMNA;EP400;FYN;MAP2K5;BBS2;EGR1;SMAD4;JUP;AP3D1;PTPN11;GRIN2B;RAB11A;SMARCA4;SMAD7;ARHGAP32;NR4A1;TADA2A;DLG5;CARM1;TADA3;UBA1;NF2;FGFR1",12,"Ahctf1 / Ptprm / Akap12 / Apc2 / Fos / Dhx9 / Hdac6 / Kif3b / Egr1 / Grin2b / Arhgap32 / Nr4a1"
"20","Smarca4",1,"TOP2B;NUMA1;ZMYND8;CHD4;ETS2;MED17;STK11;TRIM28;BCL7A;SIN3B;ZMIZ2;DPF2;TOPBP1;JUNB;SRRM2;NCOA1;PRMT5;SMARCC1;SMARCC2;ACTL6B;ACTL6A;BAZ1B;WDR77;NCOR2;NCOR1;SMARCD1;HDAC2;PCNA;HDAC3;HDAC1;CUL3;SRF;ADD1;POLR2A;HSF1;HSF4;BRD9;SRGAP3;BRD7;MARK4;BRD4;MBD3;KDM4A;KDM4B;STAT2;NR1H2;CPSF2;RPA1;SMARCA2;MPP6;MYBBP1A;CARM1;NF1;UBE2O",7,"Top2b / Chd4 / Junb / Polr2a / Stat2 / Cpsf2 / Nf1"
"21","Sall4",1,"MBD3;SMARCD1;SMARCC1;HDAC2;CTBP2;HDAC1;ACTL6A;MBD2;CHD4;NRBP1;GATAD2B;SMARCA4;MTA1;EWSR1;RUVBL2;KIF5A;NACC1;DPF2;MTA2;MTA3",2,"Chd4 / Mta3"
"22","Rara",1,"TOP2B;DNMT1;SETD2;HDAC2;HDAC3;SRC;HDAC1;ANKRD11;HNRNPU;BAZ2B;ACACA;DHX30;CCND3;BAG3;RUVBL1;BAG1;AKT1;FLOT2;MAPK1;PRKACA;JAK1;BRD4;NCOA1;USP7;MECR;GADD45B;JUP;PARP1;NR1H2;LMO7;BAZ1B;MAPK14;GADD45G;NCOR2;SKI;MAPK10;MED25;KAT2A;PSMC5;SNRNP40;NCOR1;TNIP1;CNOT1;DLG4;TADA3",4,"Top2b / Dnmt1 / Jak1 / Usp7"
"23","Sin3a",1,"KDM1A;THRA;CHD4;CHD3;CABIN1;ING2;TRIM28;SIN3B;MEN1;PRMT5;SMARCC1;HSP90AA1;SMARCC2;KLF13;BAZ1B;HCFC1;NCOR2;TOM1L2;NCOR1;BRMS1;MAD1L1;HDAC5;HDAC2;HDAC3;CTBP1;HDAC1;ZBTB4;HDAC6;ADD1;DHX30;MTA1;SAP30L;MTA2;ZBTB7A;MBD3;SMAD4;SYT1;PHF12;MBD2;PA2G4;MAPK14;SMARCA2;SMARCA4;SKI;PER1;TADA2A;GON4L;TAF6;ACO2;RAN;MXD4;TAF1",2,"Chd4 / Hdac6"
"24","Stat1",1,"VCP;HSP90AB1;HDAC3;SHMT2;SRC;HDAC1;DCTN1;APEH;FOXO3;TRIM28;IRAK1;HSF1;KPNA6;AKT1;MAPK1;FYN;BTRC;ATG7;CAMK2G;CTNNBL1;JAK1;GTF2I;NUP214;PIAS4;NSF;SMAD4;UBE2I;PRMT1;STAT2;PRKCD;ELP2;SARS;PTPN11;FOS;MAPK14;SMARCA2;PTK2;MTOR;JMJD6;SMARCA4;RUFY1;DDB1;POR;KARS;PSMC3;DNAJA3;LZTR1;SHANK1",7,"Apeh / Camk2g / Jak1 / Stat2 / Elp2 / Fos / Shank1"
"25","Ar",1,"KDM1A;CCNH;JMJD1C;DCAF6;MED14;SART3;SIN3B;ZMIZ1;ZMIZ2;TRIM3;RUVBL1;AKT1;KIF1A;NCOA1;PIAS4;SMARCC1;HSP90AA1;PARP1;PRMT1;FOS;GTF2F1;RNF40;WDR77;NISCH;NCOR2;GAK;NCOR1;MED24;PRPF6;DNAJC7;PSPC1;CTDSP2;RAF1;SMARCD1;HDAC3;SRCAP;SRC;HDAC1;BAG1;PAK6;MAPK1;PATZ1;RNF20;EGR1;KDM4A;XRCC6;SMAD4;UBE2I;TNK2;PA2G4;MAPK14;SMARCA2;SMARCA4;CDK9;PPP5C;PSMC3;MYBBP1A;TADA3;ERCC2;RAN;TAF1",2,"Fos / Egr1"
"26","Nr3c1",1,"PHF3;HSP90AB1;HNRNPU;ETS2;DCAF6;MED14;LASP1;PSMD7;TUBA1A;TRIM28;PRKACA;TSPYL2;NCOA1;EIF5B;SMARCC1;HSP90AA1;FOS;GAPVD1;NCOR2;TUBB2B;MED25;CLIP1;NCOR1;PRPF6;DNAJC7;THRAP3;NCL;RAF1;SMARCD1;HDAC2;SRC;HDAC1;CUL2;NEDD4L;CENPB;HDAC6;BAG1;MAPK1;FYN;MTA2;PTPRN2;UBE2I;SYT1;LARP7;MAPK14;SMARCA2;SMARCA4;KTN1;MAPK10;NR4A1;PPP5C;TADA2A;TTC3;RAN",6,"Fos / Gapvd1 / Hdac6 / Ktn1 / Nr4a1 / Ttc3"
"27","Hdac2",1,"RERE;TOP2B;KDM5C;KDM1A;THRA;EHMT2;CHD5;CHD4;CHD3;SMC3;PHB2;CABIN1;ING2;SIN3B;ZMYM3;RUVBL2;PPP6R3;HMG20B;CIR1;CTNNBL1;GTF2I;MEN1;PIAS4;SMARCC1;SMARCC2;ZFP1;PARP1;FOS;CSNK1E;BAZ1B;HCFC1;NCOR2;ACLY;KAT2A;PSMA4;BRMS1;RASA3;EWSR1;MAD1L1;DNMT1;CTBP2;PPM1L;CTBP1;HDAC1;CUL1;CXXC1;WIZ;PPM1F;CIAO1;HIRA;MTA1;MIER2;SAP30L;HSF1;GSE1;BUB3;MTA2;ZBTB7A;MTA3;MBD3;CBX7;MBTPS1;PHC2;SMAD4;PPIL2;PLK2;MBD2;PA2G4;SMARCA2;GATAD2B;CLK3;SMARCA4;GADD45G;SMAD7;PER1;MYBBP1A;DLG4;HDGF;TAF6",6,"Top2b / Chd4 / Smc3 / Fos / Dnmt1 / Mta3"
"28","Smarcb1",1,"TOP2B;SMARCD1;HDAC2;SRC;HDAC1;CUL3;EIF4A3;ETS2;NCSTN;ING2;SIN3B;POLR2A;HSF1;DPF2;AKT1;UBQLN4;PRMT5;SMARCC1;SMARCC2;ACTL6A;FOS;MAPK8IP2;BAZ1B;SMARCA2;SMARCA4;GADD45G;NCOR1;CARM1;TAF6;TACC2;RAN",3,"Top2b / Polr2a / Fos"
"29","Upf1",1,"HDAC5;ACSS2;RBM8A;STAU1;CUL3;EIF4A3;HDLBP;PARN;HNRNPU;ADAR;SMG9;SMG7;SMG5;SMG6;EDC4;HIRA;EXOSC10;ABHD16A;POLR2A;EXOSC2;NCBP1;UPF3A;EEF2;SRRM1;DDB1;EIF3A;EIF3B",2,"Polr2a / Eif3a"
"30","Hsf1",1,"CAMK2B;MTMR2;LRSAM1;HDAC2;HDAC1;CAMK2A;CHD3;MTA1;CBS;CHST10;MAPK1;BTRC;PRKACA;DTD1;AAMP;CAMK2G;REPS1;RALBP1;XRCC6;HSP90AA1;PCGF2;DHPS;CTPS2;MAPK14;SMARCA4;MAPK10;FILIP1;AARS;TAF1",2,"Camk2a / Camk2g"
"31","Yy1",1,"HDAC5;HDAC2;HDAC3;HDAC1;TESK1;NEDD4L;ARRB1;RUVBL2;RUVBL1;SLC39A7;MTA2;JUNB;SMAD4;XRCC6;PRMT1;NR1H2;ACTL6A;SIRT5;ACTR8;FOS;TERF2;UCHL5;MTOR;HCFC1;SMARCA4;ILF3;GON4L;NCL;RAF1;ATF6;BAP1",2,"Junb / Fos"
"32","Jun",1,"TCF20;ARRB1;CHD3;NAT14;ETS2;IKBKB;TUBA1A;HERC1;RPS6KA2;NEFM;BBS7;JUNB;NCOA1;HSP90AA1;FBXW7;ITPK1;SARS;FOS;GTF2F1;HCFC1;NCOR2;CREB3;PACS1;SMARCD1;HDAC2;ELOF1;HDAC3;DHX9;HDAC1;MAZ;STRN4;PPP4C;MTA1;IRAK1;MAPK1;ASCC3;MAP2K7;MTA3;MBD3;EGR1;SMAD4;UBE2I;SMARCA2;MTOR;PRRC2A;SKI;MAPK10;MAPK11;SNRK;MYBBP1A;PPP2R2D;HDGF;NFE2L1;TAF1",8,"Herc1 / Nefm / Bbs7 / Junb / Fos / Dhx9 / Mta3 / Egr1"
"33","Smc3",1,"USP13;BECN1;HDAC5;HDAC2;PAXIP1;NUMA1;CUL3;CUL2;NOP2;FBXO25;PWP2;CAMKK2;POLR2A;NRD1;BMS1;FBXO6;UTP20;BUB3;RAE1;CCT3;APC2;CCT2;SMC1A;TERF2;SRRM1;WRAP73;FEZ1;FEZ2;TCP1;NMT1;HDGF;CEP63;SLU7;MXD4",3,"Polr2a / Apc2 / Fez1"
"34","Usf1",1,"GTF3C1;TOP2B;XRCC6;PARP1;TRRAP;PRMT1;MAPK14;PPRC1;SMARCA4;HCFC1;RBBP5;GTF2IRD1;TAF6;BPTF;GTF2I",2,"Gtf3c1 / Top2b"
"35","Kdm5b",1,"MBD3;HDAC5;HDAC2;SMARCC2;HDAC3;KDM1A;HDAC1;MBD2;CACNA1A;CHD3;GRIN2B;CACNA1H;RHOBTB2;RBM15B;DGKQ;PCNX;MTA2;MTA3;BRD4",3,"Cacna1a / Grin2b / Mta3"
"36","Aire",1,"NOP56;HDAC2;PCNA;PARP1;SRC;HDAC1;CHD6;SSRP1;SMC3;SMC1A;TRIM28;MSH2;POLR2A;MYBBP1A;POLR2B;RUVBL2;FYN;GRB2;PLCG1;KPNB1",4,"Chd6 / Smc3 / Polr2a / Polr2b"
"37","Rad21",1,"SETD3;HSP90AB1;UBE3C;NUMA1;HNRNPU;CHD4;CHD3;SMC3;PSMD2;OSBP;CAPN1;CCT3;CCT2;CBR1;HSP90AA1;DAPK3;GAPVD1;SMC1A;GNL1;SRRM1;DDB1;RNF123;MSH2;EWSR1;PSPC1;ANAPC4;KPNB1;PCNA;DHX9;ACAT1;KIF3B;TPR;MTA3;SF3A3;TRAP1;TUBB4B;LRPPRC;CDK9;PFKL;FASN;PSMC1;EIF3I;UBE2O;NCAPD2;UBA1;EIF3C;EIF3D;RAN;EIF3A;EIF4G1;EIF3B",7,"Chd4 / Smc3 / Gapvd1 / Dhx9 / Kif3b / Mta3 / Eif3a"
"38","Sp1",1,"LDB1;CHD3;DCAF6;SENP6;TUBA1B;CAPZB;TUBB3;OSBP;KIF1A;BTRC;SMARCC1;HSP90AA1;SMARCC2;PARP1;PRKCD;LMO7;SREBF2;HCFC1;NCOR2;NCOR1;NCL;SNURF;ATF6;PLEC;DNMT1;HDAC2;HDAC3;LUZP1;CTBP1;SRC;HDAC1;SRF;SRRT;PRKCZ;ARHGAP21;EXOSC10;DROSHA;MAPK1;FYN;ZBTB7A;MEF2D;HSPA9;MYH7B;EGR1;PHC2;SMAD4;ODF2;NR2F1;CDC42BPB;MAPK14;TUBB4A;SMARCA4;MAPK11;PSMC5;GRB2",2,"Dnmt1 / Egr1"
"39","Stat3",1,"HSP90AB1;KDM1A;OGDHL;IKBKB;TRIM28;KPNA6;ARFIP2;CAPN1;PIM2;EPHB1;JAK1;GTF2I;PRKCG;NCOA1;PIAS4;HSP90AA1;ECH1;PRKCD;DAPK3;FOS;CPT1C;NIF3L1;MSH2;DNMT1;HDAC2;HDAC3;RBM8A;SRC;HDAC1;CTR9;SRRT;PRKCZ;CORO1A;IRAK1;HIVEP1;PTK2B;MAPK1;FYN;SOCS7;TBC1D15;STAT2;HUWE1;ELP2;PTPN11;PTK2;MTOR;SMARCA4;POU6F1;CDK9;BCKDK;NR4A1;FGFR1",7,"Jak1 / Fos / Dnmt1 / Socs7 / Stat2 / Elp2 / Nr4a1"
"40","Bcor",1,"MAPK10;HDAC5;USP7;HDAC3;HDAC1;PCGF1;MLLT1;CPNE2;ZBTB7A;HDAC6",2,"Usp7 / Hdac6"
"41","Rnf2",1,"VCP;KDM5C;HDAC2;PAXIP1;L3MBTL2;KDM1A;CTBP2;TRRAP;HDAC1;USP11;MLLT1;DCAF7;MED17;TRIM8;CASP9;MED14;MTA1;POLR2A;RBBP5;RUVBL2;SCMH1;EP400;EPC1;HMG20B;PCGF1;BRD8;FBRS;CBX7;USP7;PHC2;CBX6;AUTS2;WDR18;PCGF2;ACTL6A;DNAJC2;MED24;MYBBP1A;PSMC4",4,"Usp11 / Polr2a / Epc1 / Usp7"
"42","Smarcc2",1,"TOP2B;SMARCD1;HDAC2;HDAC1;CUL3;ITSN1;CHD3;PHYHIP;SART1;NCSTN;ING2;POLR2A;RUVBL1;DPF2;AKT1;SRGAP3;BRD7;SMARCC1;STAT2;ACTL6A;BAZ1B;SMARCA2;SRRM1;SMARCA4;NCOR1;CARM1;GRB2;TAF6",3,"Top2b / Polr2a / Stat2"
"43","Rxra",1,"HDAC3;THRA;SRC;HDAC1;SRF;JMJD1C;ACVR1B;POLR2A;MAPK1;KIF1A;BRD8;PRKACA;UBQLN4;NCOA1;MECR;GADD45B;PRMT2;PARP1;NR1H2;NR2F1;SMARCA4;GADD45G;NCOR2;MAPK10;NR4A1;MED25;PSMC5;MED24;NCOR1;CNOT1;TADA3;NFKBIB",2,"Polr2a / Nr4a1"
"44","Tbl1xr1",1,"APC2;SKI;HDAC5;HDAC3;NCOR1;KDM1A;THRA;PRKCD;CD2BP2;CHD4;CORO2A;ABCF1",2,"Apc2 / Chd4"
"45","Ilf3",2,"RPL4;RPL5;RPL3;RPL32;RPL31;ARRB2;RPL8;RPL10A;RPL9;RPL6;RPL7;TOMM22;TXN2;MRPL41;RPS4X;RPS14;MRPL42;RPL7A;RPS17;MAP1LC3B;RPS16;MAP1LC3A;MRPL40;RPL18A;SUMO3;RPS13;NOMO1;GABARAPL2;GABARAPL1;RPL21;SSR4;RPS8;RPL23;GAA;RPL22;RPS6;PDIA4;EEF1A1;RPL37A;RPL24;RPL27;PABPC1;RPL29;SNRPC;VAMP2;LRRC59;NDUFB9;RPN2;RPL10;MRPS35;RPL12;RPN1;RPL11;MRPL17;NEDD8;MRPL12;MRPL10;GABARAP;UQCRH;MRPL11;MRPL55;MRPL20;PTDSS2;VTN;NXF1;RPS15A;UBC;RPL14;RPS3;RPL13;RPL15;RPS2;NDUFV3;PCBD2;RPL18;RPL17;MYH10;RPL19;SF3A2;HSPA5;NDUFA2;RPL23A;MRPL23;RPS26;RPS25;RPS28;SPCS2;RNPS1;RPS20;LAMTOR2;HNRNPC;RPS24;RPS23",34,"Rpl4 / Rpl32 / Rpl31 / Rpl10a / Rpl9 / Rpl7 / Tomm22 / Rps4x / Rps14 / Rpl7a / Rps17 / Rps16 / Rpl18a / Rpl21 / Rps8 / Rps6 / Eef1a1 / Rpl37a / Rpl10 / Rpl12 / Rps15a / Rpl14 / Rpl13 / Rps2 / Rpl17 / Myh10 / Rpl19 / Rpl23a / Rps26 / Rps25 / Rps28 / Rps20 / Rps24 / Rps23"
"46","Esr1",2,"RPL4;RPL5;SMARCB1;RPL3;RPL31;ALKBH7;RPL8;RPL10A;RPL9;RPL6;RPL7;EFTUD2;RPS14;RPS17;RGS3;RPS16;RPS19;KAT5;RPL18A;SNRPD1;RPL36AL;RPS18;FAM162A;ARHGDIA;CFL1;RPL36;UBAP2L;RPS11;RPS10;RPS13;RPS12;RPS9;RPL21;RPS7;RPS8;ACTN1;RPL22;RPS6;TPM1;RPSA;ACTN4;MED4;ATAD3A;MED6;PDIA4;EEF1A1;MYL6;CSNK2B;EEF1A2;DNAJB11;SRSF2;RPL24;RPL29;FKBP4;PFN1;RPL28;DAP3;LRRC59;RPN2;ANP32A;RPN1;PHB;HSP90B1;ATP5B;PRDX2;UBB;BLOC1S1;PCBP1;UBC;MYH14;THEM6;MYH10;HEXIM1;ESRRA;ZBTB17;FIS1;HSPA8;JUN;XBP1;JUND;HSPA5;H3F3A;ARPC4;NR2F6;RPS26;RPS25;SNW1;CDK5;RPL27A;GNB2;HYOU1;CALM3;RPS20;HNRNPC;CALM2;RPS24;RPS23;MRPS17;MRPS15;CUEDC2;RPLP0;TECR;FAF2;SRA1;MYL6B;HMGB1;RPS4X;RPL7A;MED10;RAC3;CTSD;SPTAN1;EMD;NME2;RPL13A;EDF1;DDOST;NME1;EEF1G;HAX1;CTTN;RPL37A;MYH9;PABPC1;ALDOA;GAPDH;DBN1;OTUB1;SMARCD3;MRPS35;RPL10;RPL12;RAB1B;RPL11;RPL36A;NEDD8;SLC3A2;EXOSC4;RPS15A;PSMB2;U2AF2;POLR2D;RPL14;RPS3;RPL13;RPL15;RPS2;CCT7;RPL18;RPL17;RPL19;MAPK3;DUT;SSB;GSN;MDH2;TAF10;RPL23A;HSPE1;HNRNPAB;BLCAP;USF1;PPP1CA;SPCS2;VAPB;APEX1;STUB1;P4HB;EIF3F",47,"Rpl4 / Rpl31 / Rpl10a / Rpl9 / Rpl7 / Rps14 / Rps17 / Rps16 / Rps19 / Rpl18a / Rps18 / Rps11 / Rps10 / Rps12 / Rps9 / Rpl21 / Rps7 / Rps8 / Rps6 / Actn4 / Eef1a1 / Srsf2 / Myh14 / Myh10 / Rps26 / Rps25 / Rpl27a / Rps20 / Rps24 / Rps23 / Rps4x / Rpl7a / Sptan1 / Rpl37a / Dbn1 / Rpl10 / Rpl12 / Rpl36a / Rps15a / Rpl14 / Rpl13 / Rps2 / Rpl17 / Rpl19 / Gsn / Rpl23a / Eif3f"
