node_count,edge_count,diameter,av_path_length,density,clustering_coef,connected,minimum_cut
6960,616054,13.362637099999999,4.400033219759748,0.02543857041158972,0.5804539508501423,FALSE,0
7095,769539,13,3.2924137725150207,0.030578561163857616,0.53440797132428,FALSE,0
7095,769539,3,1.9706990373705122,0.030578561163857616,0.030552829115981214,TRUE,166
6960,616054,3,1.9853456534414213,0.02543857041158972,0.025432468719311686,TRUE,124
